Designator,Mid X,Mid Y,Rotation,Layer
220Ω_2,72.3,-91.9,270.0,top
220Ω,72.3,-101.85,90.0,top
6.8KΩ_2,83.15,-101.95,90.0,top
6.8KΩ,83.15,-92.05,90.0,top
D2,75.75,-85.45,0.0,top
J1,95.72,-105.8,90.0,top
J10,90.65,-93.75,0.0,top
J11,53.15,-95.85,0.0,top
J12,95.72,-103.05,90.0,top
J13,93.2,-93.75,0.0,top
J14,95.75,-93.75,0.0,top
J15,98.3,-93.75,0.0,top
J16,100.8,-93.75,0.0,top
J17,103.35,-93.75,0.0,top
J9,88.1,-93.75,0.0,top
LED,77.67,-103.55,0.0,top
NPN_2,76.99,-90.25,270.0,top
NPN,77.0,-96.02,270.0,top
SW1,86.05,-82.8,0.0,top
SW2,95.95,-82.8,0.0,top
